year,month,category,units,revenue,avg_price
2009,12,EIRE,9414,20099.74,2.1351
2009,12,France,3688,6521.69,1.7684
2009,12,Germany,4828,10096.85,2.0913
2009,12,Netherlands,10822,15204.73,1.405
2009,12,Other,10417,23445.53,2.2507
2009,12,United Kingdom,387812,750317.22,1.9347
2010,1,EIRE,30809,65258.43,2.1182
2010,1,France,5313,8465.63,1.5934
2010,1,Germany,6321,12562.11,1.9874
2010,1,Netherlands,20531,29230.77,1.4237
2010,1,Other,70993,25393.9,0.3577
2010,1,United Kingdom,257558,511797.66,1.9871
2010,2,EIRE,11631,21538.8,1.8518
2010,2,France,4996,9024.16,1.8063
2010,2,Germany,4789,9124.25,1.9053
2010,2,Netherlands,9883,17255.39,1.746
2010,2,Other,107855,41634.42,0.386
2010,2,United Kingdom,243627,454762.72,1.8666
2010,3,EIRE,14797,22989.46,1.5537
2010,3,France,4553,8657.59,1.9015
2010,3,Germany,8883,16698.08,1.8798
2010,3,Netherlands,16662,24447.98,1.4673
2010,3,Other,76233,39246.81,0.5148
2010,3,United Kingdom,406273,721530.21,1.776
2010,4,EIRE,13793,23929.48,1.7349
2010,4,France,4156,7642.98,1.839
2010,4,Germany,12557,23683.23,1.8861
2010,4,Netherlands,4944,6888.78,1.3934
2010,4,Other,28252,34774.79,1.2309
2010,4,United Kingdom,304496,584609.73,1.9199
2010,5,EIRE,9754,19121.93,1.9604
2010,5,France,8941,13958.15,1.5611
2010,5,Germany,4246,9108.36,2.1452
2010,5,Netherlands,14910,22416.53,1.5035
2010,5,Other,20637,35066.08,1.6992
2010,5,United Kingdom,338718,560187.81,1.6538
2010,6,EIRE,12306,22934.34,1.8637
2010,6,France,5709,9172.54,1.6067
2010,6,Germany,9326,15678.63,1.6812
2010,6,Netherlands,15761,24224.51,1.537
2010,6,Other,16449,27847.63,1.693
2010,6,United Kingdom,349085,652412.49,1.8689
2010,7,EIRE,15415,35722.32,2.3174
2010,7,France,4138,11546.64,2.7904
2010,7,Germany,13100,20274.29,1.5477
2010,7,Netherlands,3410,5534.29,1.623
2010,7,Other,10577,18192.86,1.72
2010,7,United Kingdom,292280,559442.54,1.9141
2010,8,EIRE,15808,26005.71,1.6451
2010,8,France,89914,16570.32,0.1843
2010,8,Germany,5264,9943.12,1.8889
2010,8,Netherlands,17667,25028.69,1.4167
2010,8,Other,11860,23176.72,1.9542
2010,8,United Kingdom,332907,596550.35,1.7919
2010,9,EIRE,20120,36984.47,1.8382
2010,9,France,6960,14531.33,2.0878
2010,9,Germany,9257,17740.18,1.9164
2010,9,Netherlands,29199,45037.14,1.5424
2010,9,Other,23666,36966.39,1.562
2010,9,United Kingdom,496155,773073.5,1.5581
2010,10,EIRE,20053,50079.05,2.4973
2010,10,France,9923,15211.77,1.533
2010,10,Germany,11857,21561.63,1.8185
2010,10,Netherlands,17628,17265.85,0.9795
2010,10,Other,37460,60956.73,1.6272
2010,10,United Kingdom,525174,1000408.88,1.9049
2010,11,EIRE,15491,31031.31,2.0032
2010,11,France,11703,19618.27,1.6763
2010,11,Germany,15679,30240.51,1.9287
2010,11,Netherlands,22102,36058.74,1.6315
2010,11,Other,38877,77742.51,1.9997
2010,11,United Kingdom,624597,1275581.14,2.0422
2010,12,EIRE,9495,15316.04,1.6131
2010,12,France,8178,15906.73,1.9451
2010,12,Germany,9492,20925.22,2.2045
2010,12,Netherlands,6908,8977.08,1.2995
2010,12,Other,29793,48123.3,1.6153
2010,12,United Kingdom,476332,1153350.42,2.4213
2011,1,EIRE,8794,21904.19,2.4908
2011,1,France,9199,17740.12,1.9285
2011,1,Germany,9077,16910.84,1.863
2011,1,Netherlands,20417,26611.16,1.3034
2011,1,Other,24581,46908.27,1.9083
2011,1,United Kingdom,315717,561289.98,1.7778
2011,2,EIRE,6004,12248.74,2.0401
2011,2,France,5340,8515.96,1.5947
2011,2,Germany,4245,9581.05,2.257
2011,2,Netherlands,16387,23011.91,1.4043
2011,2,Other,21310,40246.28,1.8886
2011,2,United Kingdom,230269,430027.95,1.8675
2011,3,EIRE,9580,22197.51,2.3171
2011,3,France,8690,14589.55,1.6789
2011,3,Germany,7739,14392.69,1.8598
2011,3,Netherlands,14828,22416.49,1.5118
